X,Y,Z
5.99,-0.23314,0.57232
5.99,-0.22994,0.56704
5.99,-0.22591,0.56044
5.99,-0.21948,0.54977
5.99,-0.2185,0.54817
5.99,-0.21734,0.54633
5.99,-0.21036,0.5354
5.99,-0.2059,0.52854
5.99,-0.2015,0.5218
5.99,-0.19229,0.5081
5.99,-0.19165,0.50714
5.99,-0.18572,0.49863
5.99,-0.18066,0.4914
5.99,-0.18004,0.4909
5.99,-0.16475,0.47844
5.99,-0.16316,0.47722
5.99,-0.14539,0.46352
5.99,-0.14258,0.46139
5.99,-0.13617,0.4564
5.99,-0.1241,0.44714
5.99,-0.11723,0.44173
5.99,-0.10702,0.43386
5.99,-0.094511,0.42381
5.99,-0.088558,0.41901
5.99,-0.072344,0.4053
5.99,-0.07116,0.4043
5.99,-0.070101,0.40333
5.99,-0.056838,0.39134
5.99,-0.053489,0.38802
5.99,-0.046987,0.38148
5.99,-0.040411,0.37427
5.99,-0.036955,0.37017
5.99,-0.033074,0.36552
5.99,-0.02992,0.36139
5.99,-0.026922,0.35735
5.99,-0.024099,0.35332
5.99,-0.021461,0.34913
5.99,-0.019593,0.34627
5.99,-0.017558,0.34272
5.99,-0.01564,0.33928
5.99,-0.013191,0.3346
5.99,-0.011972,0.33206
5.99,-0.010518,0.32882
5.99,-0.0095078,0.3266
5.99,-0.007319,0.32137
5.99,-0.0072526,0.3212
5.99,-0.0071054,0.32082
5.99,-0.0053719,0.31631
5.99,-0.0049249,0.31512
5.99,-0.0040079,0.31261
5.99,-0.0037075,0.31176
5.99,-0.0031618,0.30978
5.99,-0.0025161,0.30749
5.99,-0.002263,0.30705
5.99,-0.0018511,0.30614
5.99,-0.00065802,0.30387
5.99,0,0.30203
5.99,0.00065848,0.30387
5.99,0.0018516,0.30614
5.99,0.0022637,0.30704
5.99,0.0025142,0.30747
5.99,0.0031901,0.30989
5.99,0.0037038,0.31175
5.99,0.0039739,0.31252
5.99,0.0049043,0.31507
5.99,0.0053322,0.31621
5.99,0.0071939,0.32105
5.99,0.0072803,0.32127
5.99,0.0073194,0.32137
5.99,0.0097282,0.32712
5.99,0.010644,0.32912
5.99,0.012037,0.33219
5.99,0.013344,0.33492
5.99,0.015646,0.33928
5.99,0.017591,0.34276
5.99,0.019844,0.34665
5.99,0.022436,0.35067
5.99,0.024291,0.3536
5.99,0.027475,0.358
5.99,0.030311,0.36193
5.99,0.031781,0.36382
5.99,0.037786,0.37126
5.99,0.042648,0.37673
5.99,0.045347,0.37977
5.99,0.047667,0.38216
5.99,0.058153,0.39255
5.99,0.059033,0.3934
5.99,0.061205,0.39533
5.99,0.071781,0.40488
5.99,0.082032,0.41346
5.99,0.088724,0.41915
5.99,0.093212,0.42275
5.99,0.10991,0.43606
5.99,0.12337,0.4465
5.99,0.12892,0.45085
5.99,0.14147,0.4605
5.99,0.14511,0.46332
5.99,0.14621,0.46416
5.99,0.16356,0.47753
5.99,0.16506,0.47869
5.99,0.18004,0.49092
5.99,0.1807,0.49145
5.99,0.18592,0.49891
5.99,0.19165,0.50714
5.99,0.1923,0.5081
5.99,0.2015,0.5218
5.99,0.2059,0.52854
5.99,0.21036,0.5354
5.99,0.21734,0.54633
5.99,0.2185,0.54817
5.99,0.21947,0.54976
5.99,0.22592,0.56044
5.99,0.22996,0.56706
5.99,0.23314,0.57232
5.99,0.21946,0.57232
5.99,0.21499,0.57232
5.99,0.20126,0.57232
5.99,0.19736,0.57232
5.99,0.18453,0.57232
5.99,0.1796,0.57232
5.99,0.16506,0.57232
5.99,0.16033,0.57232
5.99,0.14929,0.57232
5.99,0.14089,0.57232
5.99,0.13251,0.57232
5.99,0.1205,0.57232
5.99,0.11469,0.57232
5.99,0.10252,0.57232
5.99,0.087701,0.57232
5.99,0.077569,0.57232
5.99,0.058338,0.57232
5.99,0.044727,0.57232
5.99,0.029091,0.57232
5.99,0.00065649,0.57232
5.99,0,0.57232
5.99,-0.00060588,0.57232
5.99,-0.027832,0.57232
5.99,-0.042794,0.57232
5.99,-0.055946,0.57232
5.99,-0.078379,0.57232
5.99,-0.080148,0.57232
5.99,-0.080865,0.57232
5.99,-0.08326,0.57232
5.99,-0.1044,0.57232
5.99,-0.11204,0.57232
5.99,-0.13378,0.57232
5.99,-0.13736,0.57232
5.99,-0.14627,0.57232
5.99,-0.15945,0.57232
5.99,-0.16455,0.57232
5.99,-0.1794,0.57232
5.99,-0.18457,0.57232
5.99,-0.19735,0.57232
5.99,-0.20125,0.57232
5.99,-0.21498,0.57232
5.99,-0.21946,0.57232
5.99,-0.23314,0.57232
5.99,-0.062676,0.15355
5.99,-0.062558,0.1558
5.99,-0.061943,0.16381
5.99,-0.061637,0.16566
5.99,-0.06033,0.17315
5.99,-0.05978,0.17556
5.99,-0.058041,0.18202
5.99,-0.057345,0.18417
5.99,-0.055114,0.1903
5.99,-0.054394,0.19198
5.99,-0.051647,0.19771
5.99,-0.050791,0.19927
5.99,-0.047271,0.20503
5.99,-0.046315,0.20637
5.99,-0.04163,0.21239
5.99,-0.040592,0.21353
5.99,-0.03525,0.21892
5.99,-0.033546,0.22044
5.99,-0.028151,0.22483
5.99,-0.026591,0.22593
5.99,-0.022068,0.22893
5.99,-0.017858,0.23145
5.99,-0.016427,0.23224
5.99,-0.012981,0.23387
5.99,-0.011138,0.23475
5.99,-0.010485,0.23503
5.99,-0.0070023,0.2364
5.99,-0.0048574,0.23716
5.99,-0.0035419,0.23761
5.99,-0.0014023,0.23826
5.99,0,0.23889
5.99,0.0012626,0.2383
