X,Y,Z
-0.1022,-0.42924,0.57232
-0.1022,-0.42924,0.55717
-0.1022,-0.42924,0.54389
-0.1022,-0.42924,0.52911
-0.1022,-0.42924,0.51985
-0.1022,-0.42924,0.50973
-0.1022,-0.42924,0.4964
-0.1022,-0.42924,0.48403
-0.1022,-0.42924,0.4701
-0.1022,-0.42924,0.46054
-0.1022,-0.42924,0.44581
-0.1022,-0.42924,0.43855
-0.1022,-0.42924,0.42655
-0.1022,-0.42924,0.41954
-0.1022,-0.42924,0.41444
-0.1022,-0.42924,0.40427
-0.1022,-0.42904,0.3933
-0.1022,-0.42904,0.39317
-0.1022,-0.42902,0.393
-0.1022,-0.42825,0.38408
-0.1022,-0.42743,0.37922
-0.1022,-0.42655,0.37471
-0.1022,-0.42523,0.36965
-0.1022,-0.42401,0.36565
-0.1022,-0.42227,0.3608
-0.1022,-0.42065,0.35698
-0.1022,-0.41849,0.35228
-0.1022,-0.41643,0.3484
-0.1022,-0.414,0.34418
-0.1022,-0.41106,0.3396
-0.1022,-0.40807,0.3354
-0.1022,-0.40432,0.3304
-0.1022,-0.39929,0.32465
-0.1022,-0.39778,0.32294
-0.1022,-0.39228,0.31747
-0.1022,-0.39018,0.3155
-0.1022,-0.38349,0.30984
-0.1022,-0.38142,0.30824
-0.1022,-0.37347,0.3026
-0.1022,-0.37177,0.30153
-0.1022,-0.36243,0.29615
-0.1022,-0.35816,0.29398
-0.1022,-0.35249,0.29137
-0.1022,-0.34314,0.28763
-0.1022,-0.33951,0.2864
-0.1022,-0.32618,0.28243
-0.1022,-0.32197,0.28143
-0.1022,-0.30384,0.27753
-0.1022,-0.29985,0.27675
-0.1022,-0.28061,0.27333
-0.1022,-0.27127,0.27179
-0.1022,-0.26125,0.27046
-0.1022,-0.24508,0.26829
-0.1022,-0.2294,0.26671
-0.1022,-0.21845,0.26564
-0.1022,-0.20125,0.26435
-0.1022,-0.18977,0.26355
-0.1022,-0.17239,0.26256
-0.1022,-0.16001,0.26191
-0.1022,-0.14437,0.26121
-0.1022,-0.13448,0.26074
-0.1022,-0.12242,0.26022
-0.1022,-0.104,0.2595
-0.1022,-0.084893,0.25883
-0.1022,-0.069633,0.25822
-0.1022,-0.052408,0.25768
-0.1022,-0.034237,0.25704
-0.1022,-0.017377,0.25657
-0.1022,0,0.25602
-0.1022,0.01318,0.25637
-0.1022,0.034483,0.25707
-0.1022,0.050764,0.25756
-0.1022,0.065198,0.25809
-0.1022,0.084558,0.25874
-0.1022,0.096966,0.25924
-0.1022,0.11354,0.25987
-0.1022,0.12825,0.26051
-0.1022,0.14377,0.26115
-0.1022,0.15792,0.26183
-0.1022,0.17281,0.26256
-0.1022,0.18196,0.26308
-0.1022,0.19927,0.26417
-0.1022,0.20883,0.26488
-0.1022,0.22164,0.26593
-0.1022,0.23435,0.26717
-0.1022,0.24602,0.2684
-0.1022,0.25867,0.27004
-0.1022,0.26769,0.27125
-0.1022,0.27594,0.27257
-0.1022,0.29357,0.27555
-0.1022,0.29644,0.27608
-0.1022,0.30684,0.27818
-0.1022,0.313,0.27941
-0.1022,0.31888,0.28074
-0.1022,0.32501,0.28213
-0.1022,0.32689,0.2826
-0.1022,0.33928,0.28629
-0.1022,0.34083,0.28679
-0.1022,0.34735,0.28932
-0.1022,0.35242,0.29129
-0.1022,0.35562,0.29284
-0.1022,0.36121,0.29552
-0.1022,0.36284,0.29634
-0.1022,0.36575,0.29797
-0.1022,0.3704,0.30064
-0.1022,0.37618,0.3044
-0.1022,0.37825,0.30587
-0.1022,0.38409,0.31029
-0.1022,0.38565,0.31157
-0.1022,0.39119,0.31642
-0.1022,0.39239,0.31756
-0.1022,0.39798,0.32316
-0.1022,0.39884,0.32411
-0.1022,0.40404,0.33007
